column_name,display_name,alias,type,category,tag,description,dimension_table,default
region_id,地区ID,,INT,dimension,region,地区唯一标识,dim_region,
region_name,地区名称,,VARCHAR,dimension,region,七大区名称（华东/华南等）,dim_region,
province,省份,,VARCHAR,dimension,region,省份名称,dim_region,
city,城市,,VARCHAR,dimension,region,城市名称,dim_region,
product_id,商品ID,,INT,dimension,product,商品唯一标识,dim_product,
product_name,商品名称,,VARCHAR,dimension,product,商品全称,dim_product,
category,品类,,VARCHAR,dimension,product,服饰/数码/食品/家居/美妆/运动/图书,dim_product,
brand,品牌,,VARCHAR,dimension,product,品牌名称,dim_product,
unit_price,单价,,DECIMAL,metric,product,商品标价（元）,dim_product,
cost_price,成本价,,DECIMAL,metric,product,进货成本（元）,dim_product,
user_id,用户ID,,INT,dimension,user,用户唯一标识,dim_user,
user_name,用户名,,VARCHAR,dimension,user,用户昵称,dim_user,
gender,性别,,VARCHAR,dimension,user,男/女,dim_user,
age,年龄,,INT,dimension,user,用户年龄,dim_user,
member_level,会员等级,,VARCHAR,dimension,user,普通/银卡/金卡/钻石,dim_user,
register_date,注册日期,,DATE,dimension,user,用户注册时间,dim_user,
order_id,订单ID,,BIGINT,dimension,order,订单唯一标识,fact_order,
quantity,购买数量,,INT,metric,order,商品件数,fact_order,
order_amount,订单金额,,DECIMAL,metric,order,数量×单价,fact_order,
discount,折扣率,,DECIMAL,metric,order,0~1小数 0表示无折扣,fact_order,
pay_amount,实付金额,,DECIMAL,metric,order,订单金额×(1-折扣率),fact_order,
order_status,订单状态,,VARCHAR,dimension,order,已完成/已取消/退款中,fact_order,
order_date,下单日期,,DATE,dimension,order,订单创建日期,fact_order,
pay_date,支付日期,,DATE,dimension,order,实际支付日期,fact_order,
